topic,network,alpha,seed,agent,type,z,z_neighbors,gap,degree
abortion,random,0.0,1,0,Type-L,-0.26405,-0.763101,0.499052,5
abortion,random,0.0,1,1,Type-L,-0.763101,-0.761469,0.001632,5
abortion,random,0.0,1,2,Type-L,-0.763101,-0.761469,0.001632,5
abortion,random,0.0,1,3,Type-L,-0.487134,-0.763101,0.275968,5
abortion,random,0.0,1,4,Type-L,-0.385592,-0.763101,0.377509,5
abortion,random,0.0,1,5,Type-L,-0.353186,-0.763101,0.409915,5
abortion,random,0.0,1,6,Type-L,-0.111396,-0.763101,0.651706,5
abortion,random,0.0,1,7,Type-L,-0.763101,-0.761469,0.001632,5
abortion,random,0.0,1,8,Type-L,-0.60651,-0.763101,0.156591,5
abortion,random,0.0,1,9,Type-L,-0.56545,-0.763101,0.197651,5
abortion,random,0.0,1,10,Type-L,-0.40231,-0.763101,0.360791,5
abortion,random,0.0,1,11,Type-L,-0.763101,-0.761469,0.001632,5
abortion,random,0.0,1,12,Type-L,0.202685,-0.763101,0.965786,5
abortion,random,0.0,1,13,Type-L,-0.399515,-0.763101,0.363587,5
abortion,random,0.0,1,14,Type-L,-0.763101,-0.761469,0.001632,5
abortion,random,0.0,1,15,Type-L,-0.634962,-0.763101,0.128139,5
abortion,random,0.0,1,16,Type-L,-0.741029,-0.763101,0.022073,5
abortion,random,0.0,1,17,Type-L,-0.2487,-0.763101,0.514401,5
abortion,random,0.0,1,18,Type-L,-0.319241,-0.763101,0.44386,5
abortion,random,0.0,1,19,Type-L,-0.162023,-0.763101,0.601078,5
abortion,random,0.0,1,20,Type-L,-0.224765,-0.763101,0.538336,5
abortion,random,0.0,1,21,Type-L,0.003015,-0.763101,0.766116,5
abortion,random,0.0,1,22,Type-L,-0.754942,-0.763101,0.008159,5
abortion,random,0.0,1,23,Type-L,-0.254575,-0.763101,0.508526,5
abortion,random,0.0,1,24,Type-L,-0.427684,-0.763101,0.335417,5
abortion,random,0.0,1,25,Type-L,-0.524697,-0.763101,0.238404,5
abortion,random,0.0,1,26,Type-L,-0.710614,-0.763101,0.052487,5
abortion,random,0.0,1,27,Type-L,-0.723266,-0.679724,0.043542,5
abortion,random,0.0,1,28,Type-L,-0.212327,-0.393658,0.18133,5
abortion,random,0.0,1,29,Type-L,-0.723266,-0.703075,0.020191,5
abortion,random,0.0,1,30,Type-L,-0.723266,-0.703075,0.020191,5
abortion,random,0.0,1,31,Type-L,-0.499161,-0.481455,0.017706,5
abortion,random,0.0,1,32,Type-L,-0.723266,-0.724288,0.001022,5
abortion,random,0.0,1,33,Type-L,-0.100829,0.148316,0.249145,5
abortion,random,0.0,1,34,Type-L,0.044595,0.041999,0.002596,5
abortion,random,0.0,1,35,Type-L,-0.29963,-0.162268,0.137362,5
abortion,random,0.0,1,36,Type-L,0.502631,0.744109,0.241478,5
abortion,random,0.0,1,37,Type-L,0.274761,0.380403,0.105642,5
abortion,random,0.0,1,38,Type-L,0.461307,0.248239,0.213068,5
abortion,random,0.0,1,39,Type-L,0.216522,0.537604,0.321081,5
abortion,random,0.0,1,40,Type-L,0.518872,0.488782,0.03009,5
abortion,random,0.0,1,41,Type-L,0.519197,0.857839,0.338642,5
