step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,80.7632,46.8571,127.62,13.2267,8.10943,21.3361,5.98143,5.98143,0.63284,0.36716,3.78529,2.19614
2,37.2768,19.3362,56.613,6.7878,4.05246,10.8403,5.22248,5.22248,0.65845,0.34155,3.43874,1.78374
3,44.738,20.651,65.389,7.91413,4.90934,12.8235,5.09916,5.09916,0.684182,0.315818,3.48875,1.61041
4,47.6402,20.8318,68.4721,11.1741,7.08306,18.2571,3.75043,3.75043,0.695762,0.304238,2.60941,1.14103
5,46.917,20.1823,67.0993,10.2751,7.1706,17.4457,3.84619,3.84619,0.699218,0.300782,2.68932,1.15687
6,48.8586,20.6836,69.5422,10.5814,7.43496,18.0164,3.85994,3.85994,0.702575,0.297425,2.7119,1.14804
7,48.4,21.0583,69.4583,10.2807,7.15149,17.4322,3.98448,3.98448,0.696821,0.303179,2.77647,1.20801
8,47.2,20.1447,67.3447,9.88875,6.99501,16.8838,3.98873,3.98873,0.700872,0.299128,2.79559,1.19314
9,46.5819,20.2609,66.8428,8.86468,5.59252,14.4572,4.62349,4.62349,0.696887,0.303113,3.22205,1.40144
10,60.2842,28.6941,88.9783,10.6583,7.34932,18.0077,4.94114,4.94114,0.677515,0.322485,3.3477,1.59344
11,60.8575,28.6648,89.5223,10.8592,7.09194,17.9512,4.98699,4.98699,0.679803,0.320197,3.39017,1.59682
12,60.2005,28.5561,88.7565,11.0081,7.17013,18.1783,4.88256,4.88256,0.678265,0.321735,3.31167,1.57089
13,60.5928,28.5794,89.1722,11.0808,7.55839,18.6392,4.78412,4.78412,0.679503,0.320497,3.25082,1.5333
14,63.576,30.5746,94.1506,12.1748,8.6108,20.7856,4.52961,4.52961,0.675259,0.324741,3.05866,1.47095
15,63.0219,30.5534,93.5753,11.8079,7.55936,19.3673,4.83162,4.83162,0.673489,0.326511,3.25404,1.57758
16,62.1175,29.9294,92.0469,11.23,7.43932,18.6693,4.93038,4.93038,0.674847,0.325153,3.32725,1.60313
17,63.233,30.6577,93.8908,11.7995,8.07366,19.8732,4.72449,4.72449,0.673474,0.326526,3.18182,1.54267
18,65.0805,28.0297,93.1102,11.6054,8.59569,20.2011,4.60917,4.60917,0.698962,0.301038,3.22164,1.38753
19,62.8303,27.0937,89.924,10.5293,7.41644,17.9457,5.01089,5.01089,0.698704,0.301296,3.50113,1.50976
20,63.0133,27.0489,90.0622,10.3749,7.36191,17.7368,5.07771,5.07771,0.699665,0.300335,3.55269,1.52502
21,62.1132,26.6309,88.7441,10.3894,7.33231,17.7217,5.00766,5.00766,0.699913,0.300087,3.50493,1.50273
22,61.8801,26.4633,88.3434,10.5147,7.83732,18.352,4.81383,4.81383,0.70045,0.29955,3.37184,1.44198
23,62.2997,26.7954,89.0951,10.8451,7.87091,18.716,4.76036,4.76036,0.69925,0.30075,3.32868,1.43168
24,61.8607,26.5915,88.4522,10.5074,7.83892,18.3463,4.82125,4.82125,0.699369,0.300631,3.37183,1.44942
25,62.9701,27.3406,90.3107,10.5779,8.30543,18.8833,4.78257,4.78257,0.69726,0.30274,3.33469,1.44787
26,64.1666,27.4651,91.6317,11.3626,8.07956,19.4422,4.71304,4.71304,0.700267,0.299733,3.30039,1.41266
27,64.3171,27.4842,91.8014,11.0524,7.62633,18.6787,4.91476,4.91476,0.700612,0.299388,3.44334,1.47142
28,64.465,27.6305,92.0955,11.2329,8.01464,19.2476,4.78478,4.78478,0.69998,0.30002,3.34925,1.43553
29,64.3946,27.6193,92.0138,11.1589,8.01436,19.1733,4.79906,4.79906,0.699836,0.300164,3.35856,1.44051
30,64.3948,27.6194,92.0143,11.1589,8.01436,19.1733,4.79909,4.79909,0.699835,0.300165,3.35857,1.44052
31,64.3957,27.6189,92.0146,11.1589,8.01436,19.1733,4.7991,4.7991,0.699843,0.300157,3.35862,1.44049
32,65.3299,28.2715,93.6014,11.0894,8.29349,19.3829,4.82908,4.82908,0.697959,0.302041,3.3705,1.45858
33,65.3981,28.2851,93.6831,11.193,8.33704,19.5301,4.79687,4.79687,0.698077,0.301923,3.34859,1.44828
34,65.3521,28.2809,93.633,11.1928,8.33843,19.5312,4.79403,4.79403,0.69796,0.30204,3.34604,1.44799
35,65.4587,28.3017,93.7604,11.1926,8.33857,19.5312,4.80054,4.80054,0.698148,0.301852,3.35149,1.44905
36,65.3308,28.3011,93.6319,11.1936,8.33466,19.5283,4.79468,4.79468,0.697741,0.302259,3.34545,1.44924
37,65.5992,28.3861,93.9853,11.2659,8.36898,19.6349,4.78665,4.78665,0.697973,0.302027,3.34095,1.4457
38,65.4916,28.3465,93.8381,11.1919,8.33488,19.5268,4.80561,4.80561,0.697921,0.302079,3.35393,1.45167
39,65.5437,28.3472,93.8908,11.1919,8.33488,19.5268,4.8083,4.8083,0.698084,0.301916,3.3566,1.45171
40,65.737,28.3993,94.1363,11.1919,8.33488,19.5268,4.82088,4.82088,0.698317,0.301683,3.3665,1.45438
