step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.17616891852152455,0.3979710531835777,4.036187758813885,,,,,3,0.44,0.46362075846756534,0.64592,0,0.21838923742872943,0.016064216654056752,0.19134741900421423,11.911406769771908,0
2,0.4097890153483435,0.6426630434782609,1.5434884882781312,0.876,0.124,0.9050587700102309,0.14021640761339296,4,0.34,0.3937877083093388,0.316,0,0.2891968927221172,0.011542192490658023,0.3414003426275993,29.578465521513408,0
3,0.48467545769914805,0.6969437834622249,1.3564205210998392,0.188,0.8119999999999998,0.26033422543827206,0.33473935638783603,5,0.3,0.32446626926813893,0.32688,0,0.3047079491374182,0.010455125386947798,0.39223583432480663,37.51612915273831,0
4,0.5218151825389414,0.7089425562285406,1.2816825974919002,0.12,0.88,0.3247684310836866,0.3652343062720016,5,0.3,0.32446626926813893,0.24656,0,0.31614521044712784,0.00984205754514416,0.3927973457814128,39.91008424607411,0
5,0.5453318841534275,0.7232666666666667,1.3129686790918882,0.076,0.924,0.34416092053034514,0.3607249405892233,6,0.22,0.2528709984529335,0.196,0,0.33444555555555555,0.014188899286518418,0.3888211111111112,27.403190568880106,0
6,0.558980782089142,0.7353947629438602,1.2734535724347138,0.036,0.9640000000000001,0.2361292617641838,0.48914008210088816,6,0.22,0.2459185531346726,0.1728,0,0.3453779012100774,0.010779888472657926,0.3900168617337829,36.18004608517244,0
7,0.5647530178274337,0.7509183673469387,1.3025856159335025,0.02,0.98,0.22776466059549516,0.5333323501974104,6,0.22,0.2528709984529335,0.16256,0,0.3415612244897959,0.013814798000486735,0.4093571428571428,29.631786352773307,0
8,0.5655509065428351,0.7570408163265306,1.182904674673246,0.012,0.9880000000000001,0.04026082945007439,0.6640444004869406,6,0.22,0.2528709984529335,0.16576,0,0.3456798469387755,0.013059364092932174,0.4113609693877551,31.49931087459203,0
9,0.5678047725412043,0.7567526784366984,1.1549100394379175,0.008,0.992,0.046658761766897705,0.7718170807685885,6,0.22,0.2528709984529335,0.17088,0,0.33804386097278805,0.014383901642005904,0.4187088174639103,29.10954398083046,0
10,0.5697729788361141,0.7640306122448979,1.262229673293126,0.016,0.9840000000000001,0.07704447041079955,0.6437738755938599,6,0.22,0.2528709984529335,0.1696,0,0.34209438775510204,0.013408843471625869,0.42193622448979584,31.467010960538463,0
11,0.5722268245559552,0.7642979141866364,1.13875138660127,0.008,0.992,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16032,0,0.34149629936338693,0.014677972257983797,0.42280161482324935,28.80517876665659,0
12,0.5734300048522776,0.7640306122448979,1.124012263350659,0.008,0.992,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16576,0,0.3423826530612245,0.016484103681979525,0.42164795918367337,25.579064977892628,0
13,0.5745868184248468,0.7636939791760977,1.127685624191403,0.004,0.996,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.17088,0,0.3429078014184397,0.01575319972055859,0.42078617775765803,26.711156160136426,0
14,0.5755316832642167,0.7640306122448979,1.1320130854428072,0.008,0.992,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16336,0,0.35101275510204083,0.01852154150549278,0.41301785714285705,22.299324115132197,0
15,0.5754230563949433,0.7642979141866364,1.1295001670896587,0.008,0.992,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.15776,0,0.3451477666787433,0.01556594750033739,0.419150147507893,26.927377694085628,0
