step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.15308702169789157,0.47516741071428575,5.309880189208176,,,,,4,0.38,0.29456114394053495,0.59152,0,0.22690778459821428,0.012264953652307469,0.24825962611607147,20.241383143699455,0
2,0.37490586415026234,0.6058595518334089,2.7823690057667188,0.78,0.22,0.7727747639479998,0.16039538722675092,6,0.24,0.2467967789281606,0.32656,0,0.27708946355817116,0.014739788821350887,0.32877008827523774,22.304938846817638,0
3,0.44069327556814414,0.6506899662534665,2.7584484179198654,0.168,0.8319999999999999,0.27737877256179555,0.2916805455869653,5,0.3,0.32400303821671195,0.29296,0,0.29858164322229275,0.01306861428205789,0.3521083230311738,26.943049617325453,0
4,0.47457050975241216,0.632453345471097,2.736831146322065,0.096,0.904,0.22365706172906932,0.35360648253018195,5,0.3,0.32400303821671195,0.27968,0,0.30661391407863875,0.009718669437869578,0.32583943139245825,33.527164749816336,0
5,0.487760700384918,0.6312003968253969,2.8152042969537923,0.064,0.9359999999999999,0.15780491688146167,0.4345442671590012,5,0.3,0.29290367397730593,0.25968,0,0.29900262188208615,0.010738694965969948,0.3321977749433107,30.934650438998265,0
6,0.49887230885425327,0.6317006705152569,2.8858240282841376,0.056,0.9440000000000001,0.14352037667569517,0.4062840926406211,5,0.28,0.28164325586850364,0.24784,0,0.305771092545448,0.01093121402676791,0.3336566388181721,30.52329210654254,0
7,0.5076927874987506,0.6464002267573696,3.1853711186643316,0.068,0.932,0.12750964320330735,0.3973510246219783,5,0.3,0.3173918584283083,0.23344,0,0.3062925170068027,0.019969121040855853,0.3429244614512471,17.172736884594986,0
8,0.512002559834004,0.6248185513136886,3.0097894974027377,0.064,0.9359999999999999,0.12125407818994953,0.3988317201587053,5,0.24,0.3159700063816209,0.22912,0,0.3092947089563072,0.010479382338026307,0.32172938742923496,30.701178471347735,0
9,0.5124011023115943,0.6227197927243444,3.040399963658959,0.04,0.96,0.10495170904626233,0.44074926366555517,6,0.22,0.25995067988472165,0.24768,0,0.3016420993662687,0.016321431162413375,0.32107769335807573,19.67215314411187,0
10,0.5155844882047004,0.6292378328741965,3.3929686372943104,0.036,0.9640000000000001,0.11294156397707716,0.4539301860698123,5,0.24,0.3159700063816209,0.2312,0,0.30851974288337924,0.016084247883122793,0.3272561983471074,20.346378688337516,0
11,0.5183070920840759,0.6419018250923303,3.3838927991314427,0.024,0.976,0.07933777229879214,0.5222519601954618,5,0.28,0.28164325586850364,0.2352,0,0.30155975474201296,0.013442780360609976,0.3403420703503173,25.317833158056157,0
12,0.5191339783980504,0.6282763813689985,3.407356231431794,0.016,0.9840000000000001,0.06694242859481404,0.5425278555255204,6,0.24,0.27388413395600775,0.24,0,0.3078633152855965,0.014563292551564173,0.3236042884291298,22.220544377814686,0
13,0.5205151070703162,0.640731601103208,3.4241529494436893,0.012,0.9880000000000001,0.06043222251788189,0.5720102808569455,6,0.22,0.2655183861968495,0.23552,0,0.3073504862824793,0.012166614211634787,0.33338111482072863,27.401305656747155,0
14,0.5203452569013635,0.6314414283640588,3.4161445217399797,0.012,0.9880000000000001,0.06363058255539798,0.5158595370690084,5,0.32,0.34426762585609155,0.23776,0,0.3034048845986355,0.016762833092824576,0.3242624110901437,19.344129318387477,0
15,0.5205614103567762,0.6276672956887792,3.423695353544279,0.016,0.9840000000000001,4.949430337060898e-15,0.5517871026009146,6,0.24,0.27388413395600775,0.23776,0,0.30839925968935983,0.014724516174780022,0.32304216867469876,21.939068478732196,0
16,0.5208124844444114,0.628993509986016,3.427959837080178,0.028,0.9719999999999999,0.058243560845464074,0.4961470301967015,5,0.24,0.3159700063816209,0.244,0,0.3041163182616803,0.0136654416029815,0.32692100828283543,23.92319383308538,0
17,0.5223892441007942,0.6240632507440208,3.395900695680819,0.008,0.992,4.643314131409982e-15,0.73937841140361,6,0.22,0.2543905227060168,0.244,0,0.3114283409229445,0.012863180695216208,0.3185153644806196,24.761788862926792,0
18,0.5230017776437333,0.6317544551615332,3.3988448357949617,0.012,0.9880000000000001,0.05384963619055434,0.6510128821530566,6,0.22,0.2655183861968495,0.2384,0,0.308089210799957,0.01679069540127785,0.3277708056940012,19.520978605153918,0
19,0.5225245470813303,0.6287559878066483,3.3915334391501797,0.004,0.996,0.04595934004149346,0.7729684577761533,6,0.22,0.2655183861968495,0.2384,0,0.30499891130788215,0.010666593248347294,0.3287469153723326,30.820235450833316,0
20,0.5223225040523881,0.6345623457686166,3.392939349336133,0.0,1.0,0.0,1.0,5,0.32,0.34426762585609155,0.2384,0,0.30385669182755115,0.013595240979121273,0.32907261576426194,24.204985867454003,0
21,0.5222571120704909,0.6345623457686165,3.393002353378099,0.004,0.996,0.0,1.0,6,0.22,0.2543905227060168,0.2384,0,0.3032932936565539,0.010657001921855926,0.3312690521120626,31.084638488492626,0
22,0.5222393793133971,0.6240632507440208,3.3988077375825783,0.004,0.996,0.04243137105455048,0.7475450627254219,5,0.28,0.312682677516623,0.244,0,0.303630463623651,0.017259693184518896,0.32224353687833907,18.67029346543517,0
23,0.5229768822383615,0.62402739431317,3.3980561397513824,0.012,0.9880000000000001,0.09026844629317299,0.6489441171838287,5,0.3,0.3329253365973072,0.244,0,0.30724658467496146,0.010136872694154999,0.31678080963820865,31.250349017490077,0
24,0.5292918220844947,0.6424372187545362,3.2577434471186484,0.032,0.968,0.10738162837880379,0.4685846650651421,5,0.24,0.3159700063816209,0.21936,0,0.2986826825373784,0.015276712211035916,0.3437545362171578,22.501866335403577,0
25,0.5319009640012647,0.6317128027681661,2.8575297975332727,0.036,0.9640000000000001,0.1484524478707924,0.47709262066389296,6,0.22,0.2543905227060168,0.23024,0,0.2968157439446367,0.014684423051473328,0.3311946366782006,22.55414703848177,0
26,0.5320229894263419,0.6430165816326531,2.8691715845105543,0.02,0.98,0.06592442902917477,0.544091221473947,6,0.22,0.2543905227060168,0.22112,0,0.3062579719387755,0.016085606052889778,0.33716606434240365,20.960731180024876,0
27,0.5296513257843848,0.6311472505668934,2.8497473489803835,0.012,0.9880000000000001,0.06645104127471754,0.5502227300967186,6,0.22,0.2543905227060168,0.22448,0,0.30670262896825395,0.017461867018940088,0.3305032950680271,18.92714534531418,0
28,0.5285054147400783,0.6328301480870594,2.9489442458382795,0.008,0.992,0.0465540975202937,0.6228785755116001,6,0.24,0.278073406674665,0.22176,0,0.30679569005701174,0.009528765500857987,0.32603445803004777,34.21581295086872,0
29,0.5306555150869436,0.6328125,2.8653894573726215,0.012,0.9880000000000001,0.05887437129431469,0.6225674376598014,6,0.24,0.266911494128973,0.22832,0,0.29681919642857146,0.01370134443447858,0.32984605300453507,24.07399175912241,0
30,0.532412933739148,0.6266652494331065,2.8659135458493807,0.008,0.992,5.56015869316005e-15,0.7393959726670154,5,0.3,0.30043648914275434,0.22832,0,0.3007830215419501,0.01503354172125158,0.3401962868480725,22.629151078030223,0
