step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,18.706,41.9833,60.6893,4.56676,4.81533,9.38209,6.46863,6.46863,0.308226,0.691774,1.9938,4.47483
2,2.30007,9.95796,12.258,1.76313,2.13105,3.89418,3.14778,3.14778,0.187638,0.812362,0.590642,2.55714
3,1.85546,3.91617,5.77163,2.3511,0.746544,3.09765,1.86323,1.86323,0.32148,0.67852,0.598991,1.26424
4,1.86947,1.67728,3.54675,1.90467,0.433467,2.33813,1.51692,1.51692,0.527093,0.472907,0.799556,0.71736
5,2.07484,0.780408,2.85525,1.72494,0.371437,2.09638,1.36199,1.36199,0.726676,0.273324,0.989725,0.372265
6,2.05249,0.425462,2.47795,1.56483,0.345033,1.90987,1.29745,1.29745,0.828301,0.171699,1.07468,0.22277
7,1.88855,0.290774,2.17933,1.36736,0.360156,1.72751,1.26154,1.26154,0.866576,0.133424,1.09322,0.16832
8,1.75826,0.252491,2.01075,1.3664,0.354328,1.72072,1.16855,1.16855,0.87443,0.12557,1.02181,0.146735
9,1.7839,0.221115,2.00501,1.17456,0.411286,1.58584,1.26432,1.26432,0.889719,0.110281,1.12489,0.13943
10,1.61869,0.227398,1.84609,1.17357,0.411305,1.58487,1.16482,1.16482,0.876822,0.123178,1.02134,0.14348
11,1.58145,0.235333,1.81679,1.17457,0.411283,1.58585,1.14562,1.14562,0.870467,0.129533,0.997227,0.148396
12,1.5351,0.238747,1.77384,0.966938,0.445779,1.41272,1.25562,1.25562,0.865407,0.134593,1.08663,0.168999
13,1.31605,0.291534,1.60758,0.966341,0.445934,1.41228,1.13829,1.13829,0.818651,0.181349,0.931863,0.206428
14,1.28321,0.304141,1.58735,0.965345,0.445955,1.4113,1.12474,1.12474,0.808397,0.191603,0.909239,0.215504
15,1.28642,0.305563,1.59198,0.966339,0.445934,1.41227,1.12725,1.12725,0.808061,0.191939,0.910886,0.216363
16,1.29177,0.306319,1.59809,0.967892,0.446472,1.41436,1.1299,1.1299,0.808322,0.191678,0.913321,0.216577
17,1.29112,0.30683,1.59795,0.9673,0.446625,1.41393,1.13015,1.13015,0.807985,0.192015,0.913143,0.217006
18,1.28805,0.306459,1.59451,0.966302,0.446647,1.41295,1.1285,1.1285,0.807804,0.192196,0.911607,0.216893
19,1.28705,0.30586,1.59291,0.967296,0.446626,1.41392,1.12659,1.12659,0.807987,0.192013,0.910272,0.21632
20,1.28648,0.304739,1.59122,0.966935,0.445779,1.41271,1.12636,1.12636,0.808487,0.191513,0.910646,0.215712
21,1.29009,0.305958,1.59604,0.966342,0.445933,1.41228,1.13012,1.13012,0.808302,0.191698,0.91348,0.216642
22,1.29109,0.307727,1.59882,0.966302,0.446647,1.41295,1.13155,1.13155,0.807529,0.192471,0.913757,0.217791
23,1.28799,0.307406,1.5954,0.967296,0.446626,1.41392,1.12835,1.12835,0.807317,0.192683,0.910936,0.217414
24,1.28912,0.30561,1.59473,0.967892,0.446472,1.41436,1.12752,1.12752,0.808362,0.191638,0.911446,0.216076
25,1.29028,0.305665,1.59594,0.9673,0.446625,1.41393,1.12873,1.12873,0.808474,0.191526,0.912551,0.216182
26,1.28547,0.305824,1.5913,0.965345,0.445955,1.4113,1.12754,1.12754,0.807814,0.192186,0.910842,0.216697
27,1.28686,0.306307,1.59317,0.966342,0.445933,1.41228,1.12809,1.12809,0.807738,0.192262,0.911198,0.216889
28,1.29207,0.306739,1.59881,0.967892,0.446472,1.41436,1.13041,1.13041,0.808146,0.191854,0.913538,0.216874
29,1.29119,0.307121,1.59831,0.967296,0.446626,1.41392,1.13041,1.13041,0.807846,0.192154,0.913196,0.217212
30,1.28812,0.306639,1.59476,0.966302,0.446647,1.41295,1.12867,1.12867,0.80772,0.19228,0.911652,0.217021
31,1.28705,0.305978,1.59303,0.9673,0.446625,1.41393,1.12667,1.12667,0.807927,0.192073,0.910271,0.216403
32,1.28646,0.304813,1.59127,0.966935,0.445779,1.41271,1.12639,1.12639,0.808447,0.191553,0.910629,0.215764
33,1.29006,0.306006,1.59607,0.966339,0.445934,1.41227,1.13014,1.13014,0.808275,0.191725,0.913464,0.216677
34,1.29109,0.307762,1.59885,0.966302,0.446647,1.41295,1.13157,1.13157,0.807511,0.192489,0.913756,0.217815
35,1.28797,0.307429,1.5954,0.9673,0.446625,1.41393,1.12835,1.12835,0.807303,0.192697,0.910921,0.217429
