step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,43.6082,20.6503,64.2585,6.72336,3.89491,10.6183,6.05169,6.05169,0.678637,0.321363,4.10691,1.94479
2,43.685,20.7163,64.4013,6.3144,4.34134,10.6557,6.04382,6.04382,0.678325,0.321675,4.09967,1.94414
3,44.4591,21.0918,65.5508,6.70269,4.51549,11.2182,5.84327,5.84327,0.678238,0.321762,3.96313,1.88014
4,44.4928,20.8395,65.3323,6.66729,4.33275,11,5.93928,5.93928,0.681023,0.318977,4.04478,1.89449
5,45.4078,21.0434,66.4512,6.61808,4.7428,11.3609,5.84913,5.84913,0.683325,0.316675,3.99686,1.85227
6,46.1254,21.6198,67.7452,7.39932,4.46534,11.8647,5.70983,5.70983,0.680866,0.319134,3.88763,1.8222
7,46.0884,21.5133,67.6018,7.07964,4.55428,11.6339,5.81075,5.81075,0.681764,0.318236,3.96156,1.84919
8,44.1811,20.7649,64.946,6.98994,4.6517,11.6416,5.57877,5.57877,0.680274,0.319726,3.79509,1.78368
9,46.067,21.6832,67.7501,6.96275,4.72557,11.6883,5.79639,5.79639,0.679954,0.320046,3.94128,1.85511
10,48.02,21.8747,69.8946,7.80852,4.98414,12.7927,5.46365,5.46365,0.687033,0.312967,3.75371,1.70994
11,48.563,22.1016,70.6645,8.24284,5.3623,13.6051,5.19396,5.19396,0.687232,0.312768,3.56946,1.6245
12,54.2867,26.1158,80.4025,8.31965,5.50232,13.822,5.81701,5.81701,0.675187,0.324813,3.92757,1.88944
13,52.9265,25.7695,78.6961,7.86956,4.71522,12.5848,6.25327,6.25327,0.672544,0.327456,4.2056,2.04767
14,52.7241,25.7256,78.4497,7.9354,4.95151,12.8869,6.08755,6.08755,0.672075,0.327925,4.09129,1.99626
15,52.682,25.6057,78.2877,7.85676,4.44333,12.3001,6.36481,6.36481,0.672928,0.327072,4.28306,2.08175
16,51.9763,25.3499,77.3262,8.01761,4.47864,12.4963,6.18795,6.18795,0.672169,0.327831,4.15935,2.0286
17,51.4647,24.9768,76.4415,7.91873,4.23372,12.1524,6.29022,6.29022,0.673256,0.326744,4.23492,2.05529
18,50.7981,24.654,75.4521,7.68338,3.96885,11.6522,6.47534,6.47534,0.673249,0.326751,4.35952,2.11582
19,51.0273,24.7839,75.8112,7.75542,3.9909,11.7463,6.45404,6.45404,0.673083,0.326917,4.34411,2.10993
20,51.0414,24.7823,75.8237,7.75531,3.99148,11.7468,6.45485,6.45485,0.673159,0.326841,4.34514,2.10971
21,51.098,24.7984,75.8964,7.75524,3.99207,11.7473,6.46075,6.46075,0.67326,0.32674,4.34977,2.11099
22,51.0955,24.8007,75.8962,7.75542,3.9909,11.7463,6.46127,6.46127,0.673229,0.326771,4.34991,2.11136
23,51.1035,24.8002,75.9037,7.75647,3.9912,11.7477,6.46117,6.46117,0.673268,0.326732,4.35009,2.11107
24,51.2706,24.8603,76.1309,7.75647,3.9912,11.7477,6.48051,6.48051,0.673453,0.326547,4.36432,2.11619
25,51.3447,24.8675,76.2122,7.42144,3.92921,11.3506,6.71435,6.71435,0.673707,0.326293,4.5235,2.19085
26,51.2926,24.861,76.1536,7.42039,3.92891,11.3493,6.70998,6.70998,0.673541,0.326459,4.51945,2.19053
27,51.2851,24.8599,76.1449,7.42129,3.93038,11.3517,6.70781,6.70781,0.673519,0.326481,4.51784,2.18997
28,51.2639,24.8597,76.1236,7.42024,3.93009,11.3503,6.70672,6.70672,0.673429,0.326571,4.51651,2.19022
29,52.1097,25.2471,77.3569,7.45605,3.74751,11.2036,6.90467,6.90467,0.673628,0.326372,4.65118,2.25349
30,51.475,24.9288,76.4038,6.92602,3.70355,10.6296,7.18785,7.18785,0.673723,0.326277,4.84262,2.34523
31,52.042,25.2464,77.2884,7.84905,3.78942,11.6385,6.64077,6.64077,0.673348,0.326652,4.47155,2.16922
32,51.9987,25.2401,77.2388,7.8479,3.78852,11.6364,6.63768,6.63768,0.673219,0.326781,4.46861,2.16906
33,51.243,24.7183,75.9613,6.82761,3.67323,10.5008,7.23383,7.23383,0.674593,0.325407,4.87989,2.35394
34,51.5166,24.8542,76.3708,7.19396,3.69759,10.8916,7.01193,7.01193,0.674559,0.325441,4.72996,2.28197
