step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.42016168010148164,0.4990408873876691,3.531858709591256,,,,,4,0.34,0.36928978850133765,0.3352,0,0.24983215529284206,0.009962779628802435,0.2606346823460728,26.16083985161901,0
2,0.5377100342897208,0.6883687545954273,1.1536230073493452,0.672,0.32799999999999996,0.6910366876131395,0.15528118858707224,5,0.32,0.3301345299335672,0.28368,0,0.3043512131928154,0.01050226882093832,0.38401754140261196,36.56519823954593,0
3,0.5620604448995301,0.7324020876277355,1.417486792466329,0.148,0.852,0.3797967779379885,0.2783613125453704,6,0.22,0.2528709984529335,0.26208,0,0.3259769308363668,0.014586704028545816,0.4064251567913687,27.86271360521231,0
4,0.5661959283886637,0.7241371439006574,1.291556392142755,0.104,0.8959999999999999,0.427177034797908,0.34481275993442295,6,0.22,0.2528709984529335,0.18304,0,0.3324278670562454,0.014191058990021599,0.4108153761869979,28.948887921321553,0
5,0.5680970663419111,0.7570408163265306,1.2375417758132228,0.036,0.964,0.3160288116744044,0.4032080301275817,6,0.22,0.2528709984529335,0.16576,0,0.33927551020408164,0.014074135648500578,0.417765306122449,29.68319451766522,0
6,0.5694300587620531,0.7642979141866364,1.2853351572116176,0.012,0.9880000000000001,0.14879345750934553,0.6357695832157542,6,0.22,0.2528709984529335,0.16032,0,0.3497554474406087,0.01957042844076514,0.4145424667460277,21.182084388226116,0
7,0.5718315083964869,0.7640306122448979,1.1512503285235824,0.004,0.996,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16576,0,0.3431607142857142,0.013632216984425308,0.42086989795918367,30.873180674869243,0
8,0.5734111057847026,0.7636939791760977,1.1315757599391219,0.012,0.9880000000000001,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.17088,0,0.342247623358986,0.013614579528041975,0.4214463558171117,30.95551757210407,0
9,0.5747500894178669,0.7640306122448979,1.1344901416597761,0.012,0.9880000000000001,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.1696,0,0.34721556122448977,0.019397785863472756,0.4168150510204081,21.48776432290125,0
10,0.5753863772359707,0.7642979141866363,1.1335308031770048,0.008,0.992,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16032,0,0.3462941876714455,0.018569219376207903,0.4180037265151908,22.510570748642483,0
11,0.5756508483151345,0.7640306122448979,1.1334129998948712,0.012,0.9880000000000001,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16336,0,0.3458290816326531,0.013851844672945129,0.4182015306122448,30.19103523656018,0
12,0.5755332683210913,0.7636939791760977,1.130613519252016,0.004,0.996,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16864,0,0.3453598913535537,0.016497873856052402,0.418334087822544,25.356848492878623,0
13,0.5753389930011572,0.7640306122448979,1.1309193568155933,0.004,0.996,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16336,0,0.3368686224489796,0.014180796110562428,0.4271619897959183,30.12256762353073,0
14,0.5750245069412498,0.7642979141866363,1.1289830363676352,0.008,0.992,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.15776,0,0.34582966720149055,0.01947826492507764,0.41846824698514573,21.483856421234997,0
15,0.5746295254100083,0.7640306122448979,1.1269985492241696,0.008,0.992,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16576,0,0.3515880102040816,0.013696411407027365,0.4124426020408164,30.113187300229608,0
16,0.5750827784517158,0.7636939791760977,1.128724955706318,0.008,0.992,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.17088,0,0.3473919822946532,0.01371280767744147,0.41630199688144454,30.35862579523306,0
17,0.5758593810091498,0.7640306122448979,1.1326788104567176,0.008,0.992,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16336,0,0.3482206632653061,0.01485289407133695,0.4158099489795918,27.995214062828335,0
18,0.5756299887422681,0.7642979141866363,1.1298694764416308,0.008,0.992,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.15776,0,0.3431266497593292,0.01702673916269538,0.4211712644273072,24.735873404936484,0
19,0.5750139519711075,0.7640306122448979,1.127568533208998,0.004,0.996,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16336,0,0.345172193877551,0.015044585002181332,0.4188584183673469,27.841141401149724,0
20,0.5748183990990781,0.7636939791760977,1.1269315429486857,0.008,0.992,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16864,0,0.34526432272018515,0.015657614289091078,0.41842965645591257,26.72371721070173,0
21,0.5748650197345919,0.7640306122448979,1.1283950489335282,0.008,0.992,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16576,0,0.3424464285714286,0.018747596159943897,0.4215841836734693,22.48737278511609,0
22,0.5752271208141068,0.7642979141866363,1.129417160952362,0.004,0.996,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16032,0,0.34734744578437965,0.015773524053407147,0.41695046840225675,26.433564686655657,0
23,0.5755982520796968,0.7640306122448979,1.130327989801481,0.012,0.9880000000000001,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16336,0,0.34651403061224484,0.024036941943086747,0.41751658163265304,17.369787829967063,0
24,0.5754798705169981,0.7636939791760977,1.1285152591261782,0.004,0.996,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16864,0,0.3442822292641215,0.016427134571311588,0.4194117499119762,25.53164388416459,0
25,0.5752692309600855,0.7640306122448979,1.129463998181633,0.008,0.992,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16336,0,0.3397308673469387,0.02122111904619995,0.4242997448979592,19.99422103868449,0
26,0.5749644163177312,0.7642979141866363,1.1279577669958327,0.004,0.996,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.15776,0,0.34846798819936853,0.014505296008538091,0.41582992598726776,28.66745537233452,0
27,0.5746068146938446,0.7640306122448979,1.1262767160073572,0.012,0.9880000000000001,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16576,0,0.3447589285714286,0.012766513963783702,0.4192716836734694,32.84151686692761,0
28,0.5750788390736868,0.7636939791760977,1.1282254186781215,0.004,0.996,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.17088,0,0.34417031336451887,0.019587381929398764,0.41952366581157885,21.418057161682974,0
29,0.5758367142590666,0.7640306122448979,1.1323462622757487,0.012,0.9880000000000001,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16336,0,0.35093877551020414,0.01535468613816314,0.41309183673469374,26.903307108829733,0
30,0.5756019522739265,0.7642979141866363,1.1296252903414248,0.004,0.996,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.15776,0,0.3474250815175198,0.018673888434521807,0.4168728326691165,22.323836523434366,0
31,0.575014103461501,0.7640306122448979,1.127390200686268,0.004,0.996,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16336,0,0.3438852040816326,0.017656893053218464,0.4201454081632653,23.794979495935838,0
32,0.5748488763100287,0.7636939791760977,1.1268023058796883,0.008,0.992,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16864,0,0.34417408581057296,0.01603812792425337,0.41951989336552475,26.157659755981452,0
33,0.5748787783016763,0.7640306122448979,1.1283243130990543,0.008,0.992,0.04726071670644643,0.7718170807685885,6,0.22,0.2528709984529335,0.16576,0,0.34571045918367344,0.013121461252679151,0.41832015306122444,31.880607274270726,0
34,0.5752046966610687,0.7642979141866363,1.1293711753510083,0.008,0.992,0.13581504500297056,0.7514261764161304,6,0.22,0.2528709984529335,0.16032,0,0.34205010092645305,0.014606829589192611,0.42224781326018335,28.907560718898136,0
