step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,65.0709,53.7673,118.838,14.1784,9.16663,23.345,5.09051,5.09051,0.547559,0.452441,2.78735,2.30316
2,15.1726,10.9269,26.0995,5.80058,2.21536,8.01594,3.25595,3.25595,0.581336,0.418664,1.8928,1.36315
3,17.2577,9.44444,26.7021,4.60199,2.21934,6.82133,3.91451,3.91451,0.646304,0.353696,2.52996,1.38455
4,19.0397,9.19752,28.2373,4.57726,1.94632,6.52357,4.3285,4.3285,0.674277,0.325723,2.91861,1.40989
5,19.5061,8.91251,28.4187,4.36982,2.37627,6.74609,4.21261,4.21261,0.686385,0.313615,2.89147,1.32114
6,16.7047,6.77669,23.4814,4.41213,1.97773,6.38986,3.67479,3.67479,0.711402,0.288598,2.61426,1.06054
7,15.977,7.62465,23.6017,4.12079,2.34946,6.47025,3.64772,3.64772,0.676944,0.323056,2.4693,1.17842
8,15.9129,7.56377,23.4766,4.53963,1.83908,6.37871,3.68047,3.68047,0.677817,0.322183,2.49468,1.18578
9,16.0098,7.55594,23.5658,4.70925,1.76201,6.47126,3.6416,3.6416,0.679368,0.320632,2.47399,1.16761
10,15.3562,7.31099,22.6672,3.90366,1.71256,5.61622,4.03602,4.03602,0.677464,0.322536,2.73426,1.30176
11,19.9566,10.1581,30.1147,5.17785,2.79255,7.9704,3.77832,3.77832,0.662686,0.337314,2.50384,1.27448
12,20.3232,10.0544,30.3776,5.2063,2.77477,7.98107,3.80621,3.80621,0.66902,0.33098,2.54643,1.25978
13,31.1072,14.2377,45.345,5.30097,2.91178,8.21275,5.52129,5.52129,0.686013,0.313987,3.78768,1.73361
14,31.5485,14.4699,46.0183,5.52946,3.16761,8.69707,5.29125,5.29125,0.685563,0.314437,3.62748,1.66376
15,29.9295,13.6309,43.5604,5.69058,3.55384,9.24442,4.71208,4.71208,0.687081,0.312919,3.23758,1.4745
16,29.6231,13.5644,43.1874,5.69342,3.54387,9.23729,4.67534,4.67534,0.685919,0.314081,3.2069,1.46844
17,31.1686,14.3417,45.5104,5.53408,3.15876,8.69284,5.23538,5.23538,0.684869,0.315131,3.58555,1.64983
18,31.6033,14.5048,46.1081,5.53485,3.15649,8.69133,5.30507,5.30507,0.685418,0.314582,3.63619,1.66888
19,31.8949,14.5696,46.4645,6.61681,2.79599,9.41279,4.93631,4.93631,0.686436,0.313564,3.38846,1.54785
20,31.409,14.3317,45.7407,6.62075,2.80029,9.42104,4.85516,4.85516,0.686676,0.313324,3.33392,1.52124
21,32.8385,14.9153,47.7538,7.79958,3.17434,10.9739,4.35157,4.35157,0.687663,0.312337,2.99242,1.35916
22,29.964,13.6965,43.6605,7.28903,3.89316,11.1822,3.90447,3.90447,0.686296,0.313704,2.67962,1.22485
23,30.8446,14.0734,44.9179,7.20264,3.66184,10.8645,4.13438,4.13438,0.686687,0.313313,2.83903,1.29535
24,29.8745,13.6713,43.5458,7.28699,3.89396,11.181,3.89464,3.89464,0.686048,0.313952,2.67191,1.22273
25,29.815,13.6684,43.4833,7.60509,3.82256,11.4276,3.8051,3.8051,0.685664,0.314336,2.60902,1.19608
26,30.0377,13.7451,43.7828,7.51655,3.59333,11.1099,3.94089,3.94089,0.686062,0.313938,2.7037,1.2372
27,29.7383,13.6157,43.354,7.28899,3.89314,11.1821,3.87708,3.87708,0.685941,0.314059,2.65945,1.21763
28,29.9622,13.7156,43.6778,7.20469,3.66104,10.8657,4.01977,4.01977,0.685983,0.314017,2.7575,1.26228
29,29.9586,13.7033,43.6619,7.20469,3.66104,10.8657,4.01831,4.01831,0.68615,0.31385,2.75717,1.26115
30,29.9567,13.703,43.6597,7.20264,3.66184,10.8645,4.01857,4.01857,0.686141,0.313859,2.7573,1.26126
31,29.9698,13.7031,43.6729,7.20264,3.66184,10.8645,4.01979,4.01979,0.686234,0.313766,2.75851,1.26127
32,30.0373,13.7341,43.7714,7.60509,3.82256,11.4276,3.83031,3.83031,0.686232,0.313768,2.62848,1.20183
33,29.9989,13.7428,43.7417,7.59776,3.82534,11.4231,3.82924,3.82924,0.685819,0.314181,2.62616,1.20307
34,30.041,13.7435,43.7845,7.51655,3.59333,11.1099,3.94104,3.94104,0.686111,0.313889,2.70399,1.23705
35,30.0439,13.733,43.7769,7.51655,3.59333,11.1099,3.94036,3.94036,0.686296,0.313704,2.70425,1.23611
36,30.0426,13.7322,43.7748,7.51655,3.59333,11.1099,3.94017,3.94017,0.686299,0.313701,2.70413,1.23604
37,30.0427,13.7311,43.7738,7.51655,3.59333,11.1099,3.94008,3.94008,0.686317,0.313683,2.70414,1.23594
38,30.0243,13.7308,43.7551,7.59776,3.82534,11.4231,3.83041,3.83041,0.686189,0.313811,2.62838,1.20202
39,30.0003,13.7428,43.7431,7.59776,3.82534,11.4231,3.82936,3.82936,0.685829,0.314171,2.62628,1.20307
