step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.18333620544524415,0.4658701371173469,6.266449794596976,,,,,2,0.52,0.9199791499192793,0.55712,0,0.22627501195790817,0.009781472270815838,0.23959512515943876,24.494791635232534,0
2,0.4485980045538409,0.6203067932797662,1.7291629688568735,0.868,0.132,0.7574475919035405,0.17085012615655729,4,0.38,0.5828249648052557,0.4616,0,0.2781607012417823,0.011479854246180367,0.3421460920379839,29.804044955694835,0
3,0.516984067830098,0.6853047520661157,1.6427511667107253,0.276,0.7239999999999999,0.21173908960964744,0.29604507627846827,5,0.26,0.40729630346429263,0.46672,0,0.278949025051653,0.013927883089914028,0.40635572701446276,29.17569916340898,0
4,0.5519899559543313,0.7004076313943,1.2822601917645002,0.12,0.88,0.18918151786354698,0.41393765656467335,5,0.26,0.40729630346429263,0.41056,0,0.2871696348023656,0.011326946486355757,0.41323799659193433,36.48273584497937,0
5,0.5768507831748235,0.7162914463779279,1.1505205259680051,0.14,0.86,0.29247779986203754,0.3868984083410706,5,0.26,0.40729630346429263,0.33728,0,0.3070524491439375,0.016134507047236492,0.4092389972339904,25.364208279551036,0
6,0.5933815506814875,0.712485209222274,1.1187105680211917,0.104,0.8959999999999999,0.3681364474859109,0.41233387701658486,5,0.26,0.40729630346429263,0.25296,0,0.3082290508802754,0.017270131272207976,0.4042561583419986,23.407821977158292,0
7,0.6052927953372305,0.7214085764128362,1.1694420384418378,0.088,0.9119999999999999,0.24300557171062384,0.34193318390492333,5,0.26,0.39069309752405634,0.23504,0,0.32439551300255587,0.01491996987660726,0.3970130634102803,26.609508376605344,0
8,0.6087510094937131,0.7326951092611863,1.112035731947634,0.044,0.956,0.16085957057634814,0.4828672559449465,5,0.26,0.40729630346429263,0.21616,0,0.3178491155046826,0.014697176980983702,0.3987377731529657,27.130228728202855,0
9,0.6119776081490014,0.7408500590318772,1.1530758035854103,0.048,0.9520000000000001,0.15271191431646422,0.39827530631777336,5,0.26,0.39733529046463045,0.19264,0,0.3243791111485917,0.01668167722976289,0.4164709478832855,24.965771855376264,0
10,0.6168273879101802,0.7579555555555555,1.1835258746376385,0.032,0.9679999999999999,0.1947208657656123,0.44815419730003636,5,0.26,0.39733529046463045,0.17568,0,0.32936777777777776,0.013163669560433982,0.42858777777777773,32.558381673905224,0
11,0.6173863749473187,0.764897977568578,1.1343944261338583,0.044,0.9559999999999998,0.11885647416776421,0.4926147995529807,5,0.26,0.39733529046463045,0.17264,0,0.32969010404936716,0.016756912958183514,0.43520787351921086,25.971840672877036,0
