step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,45.9736,39.2259,85.1995,10.9533,7.38935,18.3426,4.64489,4.64489,0.5396,0.4604,2.50638,2.13851
2,1.82026,3.42056,5.24082,2.16341,0.488849,2.65226,1.97598,1.97598,0.347324,0.652676,0.686306,1.28968
3,1.81415,1.4923,3.30644,1.54521,0.193164,1.73838,1.90203,1.90203,0.54867,0.45133,1.04359,0.858444
4,1.60847,0.713678,2.32215,1.20932,0.249701,1.45902,1.59158,1.59158,0.692665,0.307335,1.10243,0.489149
5,1.38604,0.395762,1.7818,1.19954,0.240314,1.43985,1.23748,1.23748,0.777886,0.222114,0.962622,0.274862
6,1.37187,0.254356,1.62622,1.19143,0.235621,1.42705,1.13957,1.13957,0.843591,0.156409,0.961332,0.178239
7,1.50433,0.195429,1.69976,1.36316,0.171456,1.53462,1.10761,1.10761,0.885026,0.114974,0.980265,0.127347
8,1.54622,0.146783,1.69301,1.27417,0.199913,1.47408,1.14852,1.14852,0.913301,0.0866994,1.04894,0.0995758
9,1.38872,0.142922,1.53164,0.923444,0.328193,1.25164,1.22371,1.22371,0.906687,0.0933129,1.10952,0.114188
10,1.21369,0.19669,1.41038,0.904907,0.323727,1.22863,1.14793,1.14793,0.860541,0.139459,0.987839,0.160088
11,1.17493,0.21507,1.39,0.90527,0.323415,1.22868,1.13129,1.13129,0.845273,0.154727,0.956248,0.175041
12,1.31986,0.216526,1.53638,1.08356,0.266297,1.34986,1.13818,1.13818,0.859068,0.140932,0.977777,0.160406
13,1.43112,0.190116,1.62123,1.26044,0.199851,1.46029,1.11021,1.11021,0.882734,0.117266,0.980021,0.13019
14,1.48428,0.154741,1.63902,1.27007,0.198225,1.46829,1.11628,1.11628,0.90559,0.0944103,1.01089,0.105388
15,1.3836,0.146504,1.53011,0.922224,0.326616,1.24884,1.22522,1.22522,0.904253,0.0957473,1.10791,0.117312
16,1.20393,0.201242,1.40517,0.903695,0.322714,1.22641,1.14576,1.14576,0.856785,0.143215,0.981671,0.164091
17,1.17038,0.216442,1.38682,0.904477,0.323579,1.22806,1.12928,1.12928,0.843929,0.156071,0.953033,0.176248
18,1.29971,0.216558,1.51627,1.07855,0.263816,1.34236,1.12955,1.12955,0.857177,0.142823,0.968228,0.161326
19,1.34332,0.194628,1.53795,1.08991,0.265424,1.35533,1.13474,1.13474,0.87345,0.12655,0.991137,0.143601
20,1.44362,0.185624,1.62924,1.2611,0.199016,1.46012,1.11583,1.11583,0.886067,0.113933,0.988699,0.127129
21,1.42433,0.153583,1.57792,1.09302,0.260534,1.35355,1.16576,1.16576,0.902667,0.0973327,1.05229,0.113467
22,1.30276,0.170496,1.47326,0.917213,0.325608,1.24282,1.18541,1.18541,0.884273,0.115727,1.04823,0.137185
23,1.18517,0.206112,1.39128,0.904567,0.323737,1.2283,1.13268,1.13268,0.851855,0.148145,0.96488,0.167802
24,1.29454,0.217662,1.51221,1.0799,0.264197,1.34409,1.12508,1.12508,0.856064,0.143936,0.963136,0.161939
25,1.32388,0.193345,1.51722,1.08653,0.263006,1.34954,1.12425,1.12425,0.872566,0.127434,0.980984,0.143268
26,1.3547,0.190002,1.5447,1.08915,0.264634,1.35378,1.14103,1.14103,0.876998,0.123002,1.00068,0.140349
27,1.3821,0.184311,1.56641,1.08393,0.261107,1.34503,1.16459,1.16459,0.882336,0.117664,1.02756,0.137031
28,1.34311,0.177113,1.52023,1.0879,0.25937,1.34727,1.12838,1.12838,0.883496,0.116504,0.996917,0.131461
29,1.28392,0.174974,1.45889,0.917976,0.326476,1.24445,1.17232,1.17232,0.880064,0.119936,1.03171,0.140603
30,1.30929,0.207039,1.51633,1.07855,0.263816,1.34236,1.12959,1.12959,0.86346,0.13654,0.975359,0.154234
31,1.31879,0.194281,1.51307,1.08653,0.263006,1.34954,1.12117,1.12117,0.871598,0.128402,0.977214,0.143961
32,1.33608,0.188703,1.52478,1.08577,0.262216,1.34799,1.13115,1.13115,0.876242,0.123758,0.991163,0.139989
33,1.29423,0.188784,1.48301,0.9122,0.326517,1.23872,1.19722,1.19722,0.872702,0.127298,1.04481,0.152403
34,1.30146,0.207976,1.50943,1.07881,0.259943,1.33875,1.12749,1.12749,0.862216,0.137784,0.972143,0.155351
35,1.3245,0.181754,1.50625,1.08866,0.260238,1.3489,1.11665,1.11665,0.879334,0.120666,0.981912,0.134742
36,1.40828,0.176046,1.58433,1.09369,0.266683,1.36037,1.16463,1.16463,0.888883,0.111117,1.03522,0.12941
37,1.3337,0.183753,1.51745,1.08653,0.263006,1.34954,1.12442,1.12442,0.878907,0.121093,0.988259,0.136159
38,1.3304,0.189635,1.52004,1.08577,0.262216,1.34799,1.12763,1.12763,0.875243,0.124757,0.986954,0.14068
39,1.27468,0.187419,1.4621,0.908923,0.324033,1.23296,1.18585,1.18585,0.871815,0.128185,1.03384,0.152008
