step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.31631222812862125,0.4913730281207132,6.0464354197848955,,,,,4,0.34,0.5431569458120149,0.46352,0,0.24821405606995883,0.011891045408664971,0.24315897205075437,20.448914598674826,0
2,0.3619827316340976,0.4894332990397805,3.6664936625872553,0.34,0.66,0.22392895249088013,0.23880219885715992,4,0.38,0.3312753751872751,0.44752,0,0.24719435871056236,0.01106028375800881,0.23799511316872426,21.517993423666976,0
3,0.37629526517400946,0.49400364898540405,3.8338314692957334,0.204,0.7959999999999999,0.18017623652517278,0.2998405888454881,5,0.3,0.38953461038882536,0.45504,0,0.24660855731577075,0.013967301338722971,0.24962008276966885,17.871747499112207,0
4,0.3864838839162394,0.5034173290243689,4.821655149458792,0.16,0.8399999999999999,0.1209029312828716,0.3140916961100709,4,0.32,0.32774400266205456,0.45552,0,0.2510022709406935,0.01086968890874419,0.25940256790986105,23.86476467612454,0
5,0.3718206592822951,0.49112319225296774,4.35682133350999,0.1,0.9,0.21282426931650653,0.3902060249313902,3,0.42,0.48496055358873974,0.44784,0,0.2438881692114931,0.014128395202286422,0.24566353076089958,17.387928865490924,0
6,0.38161845727702415,0.49203893996755,4.4326106953208635,0.076,0.924,0.12913487361834422,0.4234988577218707,5,0.26,0.3381475388684601,0.4424,0,0.24620227149810708,0.01402743616966561,0.2406014061654948,17.15220110470339,0
7,0.393158624154353,0.48784042363830543,4.621924930464533,0.104,0.8959999999999999,0.11667123932726327,0.3980092329185646,4,0.3,0.3456003350182676,0.45552,0,0.2531505873976504,0.014752046970737204,0.23749332502669984,16.099008191731077,0
8,0.3926626014042806,0.5012324245541838,4.392120760082211,0.08,0.92,0.16290096491787173,0.41095616309004274,5,0.28,0.33159248577441736,0.4432,0,0.2436353309327846,0.012635743884195137,0.2575970936213991,20.386381362446183,0
9,0.4086139120902875,0.48509629629629625,3.7597398320453577,0.116,0.8839999999999998,0.13128348326772862,0.36712689153765177,5,0.28,0.3282384471259949,0.45472,0,0.23927604938271604,0.01454585219032187,0.24582024691358015,16.899679970427407,0
10,0.39546111884811563,0.498699552557914,4.00695453033828,0.108,0.8919999999999999,0.18312268810905066,0.3623478553929251,4,0.42,0.46464383767320144,0.44784,0,0.2515225153739337,0.010600429265808868,0.23968293328043383,22.610681819605045,0
11,0.3922949698480808,0.49227446053472634,3.845912676812439,0.06,0.94,0.17547164553824388,0.4089046614017164,4,0.42,0.5007949210843099,0.45312,0,0.2546683859022681,0.013300801226494206,0.23763913685556215,17.866527948872935,0
12,0.39626054761816454,0.5070946813227848,3.9407731365831897,0.1,0.9,0.1487215683672505,0.39948439593076135,5,0.34,0.4028346469381972,0.46464,0,0.25369495204088777,0.010452020698800352,0.2503074750869332,23.94823759922927,0
