step,conflict,conformity,total,opt_conflict,opt_conformity,opt_total,poa,poa_stored,conflict_share,conformity_share,poa_conflict,poa_conformity
1,42.3277,22.9765,65.3042,8.62988,5.93013,14.56,4.48517,4.48517,0.648162,0.351838,2.90712,1.57806
2,45.9865,25.4444,71.4308,11.8045,11.0075,22.812,3.13128,3.13128,0.64379,0.35621,2.01589,1.11539
3,43.891,24.4876,68.3786,12.1486,11.3746,23.5232,2.90685,2.90685,0.641882,0.358118,1.86586,1.041
4,48.9817,26.3569,75.3386,12.2818,11.7304,24.0122,3.13751,3.13751,0.650154,0.349846,2.03986,1.09764
5,49.7568,26.8718,76.6287,11.9197,11.7091,23.6288,3.24302,3.24302,0.649324,0.350676,2.10577,1.13725
6,49.0458,26.8927,75.9385,11.8251,11.8667,23.6917,3.20527,3.20527,0.645862,0.354138,2.07016,1.13511
7,49.5354,26.8758,76.4112,12.5729,11.7122,24.2851,3.14643,3.14643,0.648274,0.351726,2.03975,1.10668
8,48.9453,26.6312,75.5765,12.2047,11.9583,24.163,3.12778,3.12778,0.647626,0.352374,2.02563,1.10215
9,52.466,28.0289,80.4949,12.1619,12.2865,24.4484,3.29244,3.29244,0.651793,0.348207,2.14599,1.14645
10,54.4361,28.7917,83.2278,13.4212,12.6735,26.0947,3.18945,3.18945,0.654061,0.345939,2.0861,1.10336
11,55.0284,29.2121,84.2405,13.1089,11.8628,24.9716,3.37344,3.37344,0.65323,0.34677,2.20363,1.16981
12,55.7078,29.2465,84.9543,13.0731,12.1327,25.2059,3.37042,3.37042,0.655739,0.344261,2.21011,1.1603
13,57.2598,30.0693,87.3291,12.5826,8.84188,21.4244,4.07614,4.07614,0.655678,0.344322,2.67264,1.40351
14,56.6049,29.4052,86.0101,12.6915,12.4967,25.1882,3.4147,3.4147,0.658119,0.341881,2.24728,1.16742
15,58.3199,30.75,89.0699,12.4964,12.8466,25.343,3.51458,3.51458,0.654765,0.345235,2.30122,1.21335
16,60.5467,32.0867,92.6333,12.5282,13.2059,25.7341,3.59964,3.59964,0.653616,0.346384,2.35278,1.24686
17,60.1123,31.9466,92.0589,12.2756,12.929,25.2046,3.65247,3.65247,0.652976,0.347024,2.38498,1.26749
18,60.4761,32.1056,92.5817,12.6916,12.7065,25.398,3.64523,3.64523,0.653219,0.346781,2.38113,1.2641
19,58.1259,31.1924,89.3183,12.3851,12.7452,25.1303,3.55421,3.55421,0.650773,0.349227,2.31298,1.24123
20,63.7638,33.8518,97.6156,13.2944,12.1127,25.407,3.84207,3.84207,0.653213,0.346787,2.50969,1.33238
21,58.378,31.0272,89.4053,12.7508,12.5426,25.2934,3.53472,3.53472,0.65296,0.34704,2.30803,1.22669
22,58.1509,31.1457,89.2966,12.1675,12.3292,24.4967,3.64525,3.64525,0.651211,0.348789,2.37382,1.27142
23,58.9094,31.385,90.2944,12.4821,12.6005,25.0826,3.59988,3.59988,0.652414,0.347586,2.34861,1.25127
24,58.0339,31.1002,89.1341,11.8924,12.4659,24.3583,3.65929,3.65929,0.651085,0.348915,2.38251,1.27678
25,57.5363,30.5332,88.0695,12.3943,12.5987,24.9931,3.52375,3.52375,0.653305,0.346695,2.30209,1.22167
26,57.481,30.3697,87.8506,11.8631,12.2063,24.0694,3.64988,3.64988,0.654303,0.345697,2.38813,1.26175
27,57.5924,30.6707,88.2631,12.3011,12.7794,25.0804,3.5192,3.5192,0.652508,0.347492,2.29631,1.22289
28,56.5285,30.1692,86.6976,11.7713,12.3087,24.08,3.6004,3.6004,0.652019,0.347981,2.34753,1.25287
29,56.4689,30.1576,86.6265,11.6681,12.366,24.0342,3.6043,3.6043,0.651867,0.348133,2.34953,1.25478
30,56.4904,30.2304,86.7208,11.8046,11.9937,23.7983,3.64399,3.64399,0.651406,0.348594,2.37372,1.27028
31,56.619,30.2049,86.8239,12.5854,12.4269,25.0123,3.47124,3.47124,0.652113,0.347887,2.26364,1.2076
32,56.8361,30.3856,87.2217,12.5702,12.7269,25.2971,3.4479,3.4479,0.651628,0.348372,2.24674,1.20115
33,57.3308,30.6229,87.9537,12.9505,13.0009,25.9515,3.38916,3.38916,0.651829,0.348171,2.20915,1.18001
34,57.4461,30.5158,87.9618,12.7533,12.7816,25.5349,3.44477,3.44477,0.653079,0.346921,2.24971,1.19506
35,57.6741,30.6536,88.3277,12.7777,12.8339,25.6116,3.44874,3.44874,0.652956,0.347044,2.25188,1.19686
36,57.8224,30.6347,88.4571,12.7936,13.0372,25.8308,3.42449,3.42449,0.653677,0.346323,2.23851,1.18598
37,57.5724,30.5691,88.1415,12.6278,12.9661,25.5939,3.44385,3.44385,0.653182,0.346818,2.24946,1.19439
38,57.7212,30.7061,88.4273,12.3656,12.9039,25.2695,3.49937,3.49937,0.652753,0.347247,2.28422,1.21515
39,57.7425,30.7151,88.4576,12.4352,12.9416,25.3768,3.48576,3.48576,0.65277,0.34723,2.2754,1.21036
40,57.7112,30.7004,88.4116,12.3655,12.9071,25.2726,3.49832,3.49832,0.652756,0.347244,2.28355,1.21477
41,57.7501,30.7214,88.4715,12.432,12.9384,25.3705,3.48719,3.48719,0.652754,0.347246,2.27627,1.21091
42,57.8487,30.8159,88.6646,12.432,12.9463,25.3783,3.49372,3.49372,0.652444,0.347556,2.27946,1.21426
43,57.7676,30.7468,88.5144,12.4594,12.9656,25.4249,3.4814,3.4814,0.652635,0.347365,2.27208,1.20932
44,57.72,30.7402,88.4602,12.6711,12.7422,25.4133,3.48087,3.48087,0.652497,0.347503,2.27125,1.20961
45,57.8122,30.766,88.5782,12.6364,12.9674,25.6039,3.45956,3.45956,0.652668,0.347332,2.25795,1.20162
46,57.8112,30.7733,88.5844,12.7363,12.9962,25.7325,3.44251,3.44251,0.652611,0.347389,2.24662,1.19589
47,57.9073,30.8097,88.7171,12.6704,12.9078,25.5782,3.46846,3.46846,0.652719,0.347281,2.26393,1.20453
48,57.9087,30.805,88.7137,12.6701,12.9077,25.5778,3.46839,3.46839,0.652759,0.347241,2.26402,1.20437
49,58.1456,31.0496,89.1953,13.051,13.0787,26.1297,3.41356,3.41356,0.651891,0.348109,2.22527,1.18829
50,57.9527,30.8629,88.8156,12.4888,12.7815,25.2703,3.51463,3.51463,0.652506,0.347494,2.29331,1.22131
51,57.8877,30.7907,88.6784,12.6704,12.9062,25.5766,3.46716,3.46716,0.652782,0.347218,2.2633,1.20386
52,57.8864,30.7908,88.6772,12.7299,12.945,25.6749,3.45385,3.45385,0.652776,0.347224,2.25459,1.19926
53,57.9178,30.8006,88.7184,12.7298,12.9441,25.6738,3.4556,3.4556,0.652828,0.347172,2.25591,1.19969
54,57.9195,30.8009,88.7204,12.7299,12.945,25.6749,3.45553,3.45553,0.652832,0.347168,2.25588,1.19965
55,57.9178,30.8006,88.7184,12.7293,12.9454,25.6747,3.45548,3.45548,0.652828,0.347172,2.25583,1.19965
56,57.9195,30.8009,88.7204,12.7299,12.945,25.6749,3.45553,3.45553,0.652832,0.347168,2.25588,1.19965
