topic,network,alpha,seed,agent,type,z,z_neighbors,gap,degree
gun_control,scale_free,0.0,1,0,Type-L,-0.736326,-0.736414,8.8e-05,5
gun_control,scale_free,0.0,1,1,Type-L,-0.736326,-0.736414,8.8e-05,5
gun_control,scale_free,0.0,1,2,Type-L,-0.736326,-0.736414,8.8e-05,5
gun_control,scale_free,0.0,1,3,Type-L,-0.736326,-0.736414,8.8e-05,5
gun_control,scale_free,0.0,1,4,Type-L,0.081997,-0.736414,0.818411,5
gun_control,scale_free,0.0,1,5,Type-L,-0.736326,-0.736414,8.8e-05,5
gun_control,scale_free,0.0,1,6,Type-L,-0.057192,-0.736414,0.679222,5
gun_control,scale_free,0.0,1,7,Type-L,-0.735926,-0.736414,0.000488,5
gun_control,scale_free,0.0,1,8,Type-L,-0.008211,-0.736414,0.728203,5
gun_control,scale_free,0.0,1,9,Type-L,0.031035,-0.736414,0.767449,5
gun_control,scale_free,0.0,1,10,Type-L,0.004953,-0.736414,0.741367,5
gun_control,scale_free,0.0,1,11,Type-L,-0.52974,-0.736414,0.206674,5
gun_control,scale_free,0.0,1,12,Type-L,-0.736546,-0.73637,0.000176,5
gun_control,scale_free,0.0,1,13,Type-L,-0.193373,-0.736414,0.543041,5
gun_control,scale_free,0.0,1,14,Type-L,-0.634971,-0.736414,0.101443,5
gun_control,scale_free,0.0,1,15,Type-L,-0.736546,-0.73637,0.000176,5
gun_control,scale_free,0.0,1,16,Type-L,-0.736326,-0.736414,8.8e-05,5
gun_control,scale_free,0.0,1,17,Type-L,-0.124558,-0.736414,0.611856,5
gun_control,scale_free,0.0,1,18,Type-L,-0.019084,-0.706927,0.687843,5
gun_control,scale_free,0.0,1,19,Type-L,-0.549744,-0.496227,0.053517,5
gun_control,scale_free,0.0,1,20,Type-L,-0.431967,-0.628293,0.196326,5
gun_control,scale_free,0.0,1,21,Type-L,0.209087,-0.467959,0.677046,5
gun_control,scale_free,0.0,1,22,Type-L,-0.691086,-0.365876,0.325209,5
gun_control,scale_free,0.0,1,23,Type-L,0.009002,-0.467959,0.476961,5
gun_control,scale_free,0.0,1,24,Type-L,0.118869,-0.267366,0.386235,5
gun_control,scale_free,0.0,1,25,Type-L,0.247958,0.074545,0.173413,5
gun_control,scale_free,0.0,1,26,Type-L,0.359835,-0.080484,0.440319,5
gun_control,scale_free,0.0,1,27,Type-L,0.222063,0.213514,0.008549,5
gun_control,scale_free,0.0,1,28,Type-L,0.131821,0.049171,0.08265,5
gun_control,scale_free,0.0,1,29,Type-L,0.507034,-0.165235,0.672269,5
gun_control,scale_free,0.0,1,30,Type-L,0.73595,0.672587,0.063364,5
gun_control,scale_free,0.0,1,31,Type-L,0.62618,0.299729,0.326451,5
gun_control,scale_free,0.0,1,32,Type-L,0.527769,0.53091,0.003141,5
gun_control,scale_free,0.0,1,33,Type-L,0.527769,0.476422,0.051348,5
gun_control,scale_free,0.0,1,34,Type-L,0.527769,0.476422,0.051348,5
gun_control,scale_free,0.0,1,35,Type-L,0.53245,0.543023,0.010573,5
gun_control,scale_free,0.0,1,36,Type-L,0.527769,0.543959,0.01619,5
gun_control,scale_free,0.0,1,37,Type-L,0.627734,0.81104,0.183306,5
gun_control,scale_free,0.0,1,38,Type-L,0.538791,0.81104,0.272248,5
gun_control,scale_free,0.0,1,39,Type-L,0.817532,0.804547,0.012985,5
gun_control,scale_free,0.0,1,40,Type-L,0.593016,0.81104,0.218024,5
gun_control,scale_free,0.0,1,41,Type-L,0.817532,0.804547,0.012985,5
gun_control,scale_free,0.0,1,42,Type-L,0.817532,0.804547,0.012985,5
gun_control,scale_free,0.0,1,43,Type-L,0.4597,0.81104,0.351339,5
gun_control,scale_free,0.0,1,44,Type-L,0.749018,0.81104,0.062022,5
gun_control,scale_free,0.0,1,45,Type-L,0.775162,0.81104,0.035878,5
gun_control,scale_free,0.0,1,46,Type-L,0.766987,0.81104,0.044053,5
gun_control,scale_free,0.0,1,47,Type-L,0.78507,0.81104,0.025969,5
gun_control,scale_free,0.0,1,48,Type-L,0.817532,0.804547,0.012985,5
gun_control,scale_free,0.0,1,49,Type-L,0.78507,0.81104,0.025969,5
gun_control,scale_free,0.0,2,0,Type-L,0.432314,-0.689929,1.122243,5
gun_control,scale_free,0.0,2,1,Type-L,-0.689929,-0.689929,0.0,5
