step,polarization,modularity,poa,dS,C_out,dL,deltacon,n_comm,max_comm_share,ari_camp,in_gini,parse_fail,Q_rand_mean,Q_rand_sd,Q_norm,z_Q,swap_fail
1,0.21611644645103475,0.4487618147448015,5.19645146763124,,,,,3,0.4,0.5392671908984441,0.53328,0,0.22349527410207942,0.011735627192191525,0.2288393194706994,19.499538944366012,0
2,0.21697572566153572,0.4627096799015082,6.29715831289418,0.316,0.684,0.22384406070306076,0.27420356666327134,3,0.42,0.4851714935045814,0.52816,0,0.22815193136349646,0.011052276575392211,0.23455774853801173,21.222573190056817,0
3,0.21027299998331317,0.47209821428571425,6.070448947339627,0.22,0.7799999999999998,0.18706543148136784,0.33019133508706194,3,0.4,0.5392671908984441,0.54432,0,0.22667111766581635,0.014480051140759507,0.2473005022321428,17.07870364739412,0
4,0.22674848796826338,0.4656110491071429,5.763260412483254,0.24,0.7599999999999999,0.24260191331942338,0.31895821451084916,3,0.4,0.591586296098429,0.5256,0,0.23325544084821428,0.009842965970978468,0.23235560825892862,23.606259428714722,0
5,0.22921345644020605,0.4514351162972825,4.6968876603364516,0.304,0.6960000000000001,0.11996894862732853,0.292463737291108,3,0.4,0.5587819825320378,0.536,0,0.2263876380296029,0.012611928777612398,0.2250474782676796,17.844017535776477,0
6,0.2361711352287009,0.4583535484872596,5.553075345128777,0.288,0.7120000000000002,0.19635658304453715,0.2859191531864225,3,0.54,0.643188310525711,0.52416,0,0.22853878398571678,0.011064218147065949,0.21390139533078453,19.332716734937815,0
7,0.20390259512329378,0.4405827071517783,4.572695498280245,0.352,0.648,0.20870145683136823,0.276501077219399,2,0.6,0.7698610972319376,0.5464,0,0.2311776990643107,0.00924917982641017,0.20729612415798196,22.412379048579773,0
8,0.20473110460277474,0.4646800830600245,4.611828477471975,0.292,0.7080000000000001,0.17210388069316407,0.29745289108891804,3,0.42,0.547578521420772,0.55616,0,0.223004036561936,0.009233511370954954,0.23550476430747738,25.50543935520392,0
9,0.22933062888858707,0.4451828912706871,4.4246607697644516,0.292,0.7079999999999999,0.2506154122960201,0.28579767003001527,3,0.42,0.5899367464878501,0.53312,0,0.23461963844034664,0.010732101943990316,0.20991976512698837,19.559986125973925,0
10,0.24305657060471308,0.4410605481710873,4.726379901654571,0.328,0.6719999999999999,0.14454607207920903,0.25618286058188217,3,0.42,0.3966341070372164,0.564,0,0.23187224758189387,0.01016679253676072,0.20761979931227256,20.421366774385177,0
11,0.2361420412126513,0.44878240061131325,4.947584458839185,0.164,0.8360000000000001,0.11711722054778677,0.34148168474263313,4,0.36,0.5008631689559409,0.5496,0,0.2310754288242273,0.008923766014085774,0.2249864264312574,25.212049047019633,0
